"","Dscrmn","Dffclt","Gussng"
"V1",1.99604005623292,1.73386591389372,0.16355687425904
"V2",1.1904891182405,1.85093196194837,0.0619037056398044
"V3",0.942406373697661,2.49471536466086,0.0745068682720289
"V4",1.2839564076339,0.330946733095849,0.242374899329178
"V5",3.2667872364259,2.25715337541402,0.12347242664953
"V6",2.13605498208006,1.37869046705983,0.0445549968521364
"V7",1.35591709457111,0.742596302745575,0.0683488955596456
"V8",1.76763365594703,0.848672608142428,0.062722527690072
"V9",2.0038937891336,0.563125023350808,0.234766186340958
"V10",2.71844228716909,2.55270281261602,0.179458772706285
"V11",3.59566615163588,1.95970112864164,0.100941195083552
"V12",2.20239243575988,0.566349321261465,0.075617569483528
"V13",1.01326411653191,0.090462052028409,0.250795304693961
"V14",-1.28710875802561,-3.03416384353182,0.123368581635219
"V15",0.0997809203013967,17.5951277940539,0.0173976166765245
"V16",2.43856789108582,1.6969793449603,0.248046144019555
"V17",2.46527903693477,1.74517802975341,0.213875576224252
"V18",1.39376747245897,-0.0260229415790061,0.0948372688116474
"V19",1.10523023960113,1.975789252381,0.0950666386679261
"V20",1.38728602452456,1.25340119485276,0.113782656096494
"V21",3.44085858753886,2.72366964308096,0.157756974448586
"V22",2.47124453962358,0.985640308574621,0.135449966010212
"V23",4.67464555276571,2.30430783716425,0.305732947152074
"V24",1.46212437486023,1.96336916758148,0.18096859900056
"V25",-0.0403762679128162,-42.7964579148747,0.057695268261571
"V26",3.92359227805313,2.45692256821087,0.166322701703241
"V27",7.90340047689535,2.33738470913021,0.223032140373343
"V28",2.70366251335344,1.13506900658482,0.126336786702017
"V29",2.34053436117772,2.8735818348073,0.137267943209376
"V30",2.48900740248203,1.32127476671359,0.125832560274517
"V31",2.66629254960089,1.98043897642065,0.17175672692125
"V32",3.63273319865723,1.78121611079112,0.205512482609132
"V33",-2.07267108471322,-2.12065602529025,0.142731700773074
"V34",4.5071116836452,1.84827752910359,0.198189243356762
"V35",2.57626848424429,1.36230920021778,0.158348031789381
"V36",2.66860643069122,1.43547819715369,0.142486806797137
"V37",1.18571092018583,2.41708052411429,0.323359293988722
"V38",-1.78874745554311,-3.06540966727712,0.102171256283638
"V39",1.99646014328582,1.47060019938127,0.111164410447101
"V40",1.99292230642444,1.96439068052196,0.215003011004287
"V41",8.75811199094974,2.59199209322448,0.134861506443693
"V42",2.72820105949947,1.72463611582939,0.100319484869705
"V43",3.05172721835936,3.34479263941609,0.157914097948156
"V44",2.62682765872391,2.28935296785745,0.212244876490657
"V45",0.12063975057701,11.8802460757881,0.02250731522097
