"","Dscrmn","Dffclt","Gussng"
"V1",1.07282810668587,2.3922036724395,0.228723764262581
"V2",1.30273595817822,2.33406592405767,0.0903124702915389
"V3",1.77637328192434,0.501639449622039,0.252263912740093
"V4",2.23253612515381,0.771628857138573,0.082040493424529
"V5",1.82286995205995,2.92934889668966,0.143558017646792
"V6",1.28770206873441,0.561512780436487,0.216803045293283
"V7",1.72880760664649,1.02598468250111,0.27000498862079
"V8",1.91095586146516,0.541853846545177,0.132227977838562
"V9",2.63943483192234,1.30103418627235,0.110187165963251
"V10",2.20965210808458,0.782906069135469,0.216387278033087
"V11",1.81649823951302,1.22783831344244,0.194446904690519
"V12",0.241667853639394,4.32538053967426,0.00845850305393093
"V13",1.16540147728261,1.84147235595701,0.231133100246151
"V14",0.669952133823457,-0.0629993191106402,4.69386146447573e-05
"V15",2.92430513570764,1.95465285162793,0.139254222499768
"V16",12.4716338148561,2.55395537722365,0.125067395300313
"V17",2.13857695898375,0.476710927199032,0.233056703483701
"V18",4.0391510629498,2.50854136801575,0.178810160244654
"V19",0.710333458172877,3.08529544406932,0.183751438967828
"V20",-1.50518424542631,-2.83623595875652,0.0628204362597796
"V21",-1.24412692733136,-3.60921239762779,0.112558130063155
"V22",2.26103589403641,2.65913215651261,0.167540164919401
"V23",1.44112569208997,2.28682043014942,0.185352765135258
"V24",1.15358221739423,1.41426019786409,0.159382848778283
"V25",0.663738898716241,0.468138878792258,0.000476754809049536
"V26",0.322183151811704,1.70749943625409,0.0366561805646931
"V27",0.157566930366401,5.32238547833886,0.0311045129839941
"V28",0.0405967583017834,2.27957512327817,0.0218857932712893
"V29",1.40436522282329,1.8981847184203,0.171055940140514
"V30",-1.94949736940457,-3.2720850664403,0.11782477410538
"V31",2.10954139034771,2.81946280317661,0.290247403207605
"V32",0.0332387588655675,30.372103519886,0.0491160917878838
"V33",1.14223745846538,0.147457817828273,0.00059968893477084
"V34",3.7449006677436,2.35925755712344,0.225389843103072
"V35",1.63877804786924,2.54655653232819,0.188284192187388
"V36",0.0030458920633815,563.991613048716,0.0826466021616897
"V37",0.0515033715403176,25.1684178449843,0.0617821706626454
"V38",2.260755326374,2.45584657964298,0.166040132794868
"V39",0.548062621731549,3.05026610191713,0.0754878478207886
"V40",3.75136726163441,1.83803590492989,0.198895066176933
"V41",2.21450448878531,2.82345865545848,0.224813666268462
"V42",2.23746124414844,2.40376442900535,0.171912305047328
"V43",1.41222217235188,1.73031317425154,0.24225965638844
"V44",1.07819246750296,1.36715515585947,0.0862271015014522
"V45",1.39685706683345,2.59830734676383,0.234814372969706
