"","Dscrmn","Dffclt","Gussng"
"V1",32.0980919899697,0.977705246298532,0.1346211530772
"V2",5.35590650105683,0.9471877719625,0.106896259292488
"V3",29.1222639478774,1.01759640758947,0.0491369619974702
"V4",17.7751526876256,1.00925887274026,0.058330544873678
"V5",28.3550652694422,0.974001933375609,0.102963791930629
"V6",-0.434445979912905,-2.68997364999974,3.46423608904478e-08
"V7",-0.330614991127328,-4.86232479268257,1.37225610709439e-06
"V8",-0.306161701571391,-6.42973035495824,7.73592635912575e-06
"V9",-0.332921079957697,-6.44256355882253,5.81235164309104e-06
"V10",-0.40881022398845,-3.27758434995103,4.66825226443368e-08
"V11",0.644541039237806,-0.528484909515388,1.18582846708389e-06
"V12",0.226095788807124,2.62334996900844,0.000498810087028128
"V13",0.877859835665941,0.543477605171787,0.000101733033690959
"V14",0.495048354848978,-0.985485369406689,5.16777430868009e-05
"V15",0.951316077063325,1.95831302066984,0.125970512781346
"V16",0.785752052599852,-0.450061076670832,1.93642232181983e-11
"V17",0.919705016306784,1.01754823872345,0.034764820422884
"V18",0.990709233087408,2.56666970754062,0.0925384479764602
"V19",1.23886341787707,2.05240012728536,0.113585170883273
"V20",1.0752414655961,0.635586337296768,0.126590884947448
"V21",1.16914199652807,0.101999755462701,0.0623771815908993
"V22",1.08479821615232,1.40425091519306,0.126244390053496
"V23",0.360667443050092,1.47837782074599,0.000696735768242722
"V24",0.831096387933026,-0.0344647402273131,3.17209050983053e-08
"V25",0.0590450520444896,29.0972178943083,0.0211544974783679
"V26",-0.0965585063778493,-15.5528831847222,0.0316904813179504
"V27",0.687522207052038,0.161632291888307,1.39426282799034e-08
"V28",0.835408972880595,1.63957300003267,0.0955451099495113
"V29",0.765164713099495,1.13853815346828,0.149672366118363
"V30",0.845266494034678,1.05555866014522,0.083215860353559
"V31",1.303944871276,2.40078586363208,0.0817098550531224
"V32",1.15517950736974,1.35724979863442,0.0700366221238217
"V33",1.38062376591787,-0.0877812044802595,0.0432933933516022
"V34",-0.516656300911716,-4.90380050819623,0.000868337030845421
"V35",0.933880318824765,1.91576030395516,0.156918976507835
"V36",1.05393206936584,-1.0608079526027,0.00013302708304427
"V37",0.256323061416421,0.697516414089788,1.26512072715694e-05
"V38",1.50093250697972,-1.185542646917,5.43161360554711e-06
"V39",1.1437018127721,2.29569033553265,0.158325805613087
"V40",0.0274091920138866,39.0229692373772,0.028342471896185
"V41",1.32343692880595,-1.0410105795679,1.84127588276393e-06
"V42",0.88547101546317,-0.0933956786105085,1.28845852526329e-06
"V43",1.23262578901659,2.7825272563535,0.17021941182542
"V44",0.234563459756712,4.46044964050888,0.0105769159311163
"V45",0.813697350068032,-0.724566022478616,3.9342391985911e-07
