"","Dscrmn","Dffclt","Gussng"
"V1",0.023821760878608,59.6117602271459,0.032257428947925
"V2",-0.725789722560757,-4.27053956058982,0.208883823122631
"V3",-2.68600605407827,-2.5871813015185,0.170588455457496
"V4",-1.06065586179354,-2.47487189362532,0.208453838279706
"V5",-1.46201520237401,-2.27025259806913,0.0971522091258166
"V6",-1.94722651986997,-0.768052257838285,0.305728679662293
"V7",-0.856066827652612,-3.43742871722837,0.280029592556024
"V8",0.0283711052763507,44.9508143677587,0.0812637165099154
"V9",-1.08883192477017,-0.00173136180475695,0.00103595022147269
"V10",-1.4966839543496,-1.72686150451081,0.141710204266445
"V11",1.18042546565171,4.49973733681777,0.116151786584841
"V12",-1.85764693340557,-1.07409836002234,0.240577234052336
"V13",-1.93696248038892,-0.614664990519585,0.136572600347087
"V14",-2.21739884526007,-1.39175782828018,0.0960176831674994
"V15",-2.00382746212967,-0.77668562778122,0.194516812059354
"V16",1.91355243833845,2.72079692015082,0.0627109776038743
"V17",0.995288926959762,4.73515052810003,0.112596330136956
"V18",-1.24195249514373,-3.17897725880416,0.140955534190341
"V19",-1.44267539875188,-2.3394892374292,0.182269316427053
"V20",-1.28464392179838,-1.40762146672276,0.168300243760846
"V21",-0.641260354417162,-0.453314260446788,0.00119471178708869
"V22",-0.283365453496207,-1.6923186834275,0.00310271155473946
"V23",-3.91887685450205,-2.45044401577306,0.330866036787102
"V24",-0.0346336763025385,-3.70339427915437,0.059837393256107
"V25",-0.676515686154691,-0.0865734153821647,0.000652526896888236
"V26",-2.90603703391243,-2.01008174761314,0.148685378308085
"V27",1.40489373828118,3.83948590683921,0.115227202186851
"V28",-1.98239332817161,-0.434071067879333,0.194951193254322
"V29",-41.5346579670198,-2.45335942453344,0.188673159835546
"V30",-0.71946129797361,-3.23693077284052,0.18122660988144
"V31",-1.72691922197838,-1.27739312465903,0.203119896094288
"V32",-0.517922434333765,-5.91110480424502,0.194663858703607
"V33",-1.13510143755744,-1.78872962894409,0.212672592213461
"V34",-2.46868256981031,-0.913652790426899,0.122902535148541
"V35",-1.42733154877772,-3.08150503965327,0.142431516141133
"V36",-1.17209202548817,-0.646099307009632,0.114767803724091
"V37",-3.45075202942535,-2.42044497523276,0.237672663754237
"V38",-1.98306665649856,-2.49763135987994,0.184019322394979
"V39",-2.10539508675306,-2.47986845168784,0.168325904657262
"V40",-1.56681330376801,-1.770837565713,0.259317737931857
"V41",-1.12958708754045,-1.35870467290616,0.0900340469603817
"V42",-1.86134381147376,-2.31081766447471,0.24241159255167
"V43",-0.666142348145708,-3.15465206203349,0.12507834973685
"V44",-2.83659286487595,-1.9687248275579,0.188204157645699
"V45",-2.19793179884002,-2.77430186663858,0.203510905037559
