"","Dscrmn","Dffclt","Gussng"
"V1",1.49640833649054,2.75767136673054,0.143120515350301
"V2",1.90269693645599,1.65023032564296,0.292848490119287
"V3",0.929257122413049,1.18962599234488,0.0548192381358378
"V4",1.23730466293459,2.43421197226371,0.253128067142883
"V5",0.423826299506557,2.82032441555863,0.0094344218949296
"V6",3.36193280232912,1.86083695281188,0.214158498723194
"V7",2.27466190095875,2.5675570338856,0.202958133795768
"V8",2.49861303243396,2.43208964481896,0.217604226266102
"V9",1.39456749089302,2.65281844394968,0.176880500924614
"V10",2.48748075000229,0.871306742540996,0.115798504169116
"V11",1.8290047979929,2.73113824711084,0.137306329945478
"V12",1.22103940559724,0.679266374922235,0.193139592195944
"V13",0.0791707069000356,18.3751740320711,0.065680009730785
"V14",0.163847485125798,6.91757799818082,0.0314883046476216
"V15",2.6466184765623,2.43449249020588,0.170318672838561
"V16",1.61617931321456,2.89959984849184,0.283409934387618
"V17",0.00735465826873776,162.54926223312,0.103451064728919
"V18",1.1625934674113,0.111044296239201,0.00227653333631798
"V19",1.31082157703515,1.86452036215086,0.148307097328021
"V20",-1.42422470578513,-3.66868894644198,0.114321847185994
"V21",1.49707423714837,1.30574318874501,0.183905531071244
"V22",0.207934687399503,5.74609623937894,0.0108536083549265
"V23",0.653161205948778,1.62084530784804,0.0681105596537912
"V24",0.768681756054914,0.0300177613272536,0.00270512593894971
"V25",3.27997002906292,1.95703602622676,0.165592087849235
"V26",-1.30649659584094,-3.46017852696168,0.116533044185396
"V27",-1.19260637406766,-3.21320587794656,0.0663103990630894
"V28",-0.651316884956662,-6.27683340591704,0.116320268735073
"V29",1.80636288126629,2.8779266889801,0.167729211524419
"V30",2.03014616160259,0.529159095563058,0.223111895733001
"V31",4.08526293172921,2.52088400412569,0.177102011414475
"V32",0.422910538899307,4.2266614744143,0.130184155783622
"V33",0.793701613528617,2.54279862862477,0.246781732025555
"V34",0.161830173256347,6.10968591563808,0.0619261852482622
"V35",0.0894767552877482,2.03706402203701,0.0521316952790257
"V36",1.23584895695969,2.4678937234136,0.196519607709974
"V37",1.3387533622913,1.51183602926761,0.170083150484825
"V38",0.676222664669825,0.746812066375066,0.00108380194681752
"V39",1.85237409034835,1.01530893377725,0.227618531215134
"V40",2.0721311324223,0.722090521953811,0.119407939025512
"V41",2.51305165956302,1.44850424851399,0.122975235958314
"V42",2.11226066761968,0.751888881538917,0.213573062740602
"V43",1.19768926631757,2.27472917182602,0.198137385065606
"V44",1.38647382054044,2.41179630971817,0.120158115959618
"V45",1.86597821988925,0.717039193977711,0.218573619474671
